,Company_tic,enterpriseToRevenue,profitMargins,enterpriseToEbitda,52WeekChange,forwardEps,bookValue,lastFiscalYearEnd,netIncomeToCommon,trailingEps,SandP52WeekChange,priceToBook,nextFiscalYearEnd,mostRecentQuarter,enterpriseValue,priceHint,pegRatio,ytdReturn,forwardPE
47,MAXD,73.024,0.0,NA,17.0,NA,-0.002,1609372800,-1381299,0,0.27952945,NA,1672444800,1625011200,18328992,4,NA,NA,NA
48,MSBI,3.436,0.1879,NA,0.84334767,3.08,28.962,1609372800,46581000,2.052,0.27952945,0.8894414,1672444800,1625011200,860928192,2,1.07,NA,8.363637
49,NABL,7.598,-0.045840003,50.045,-0.24124998,0.41,3.543,1609372800,-14886000,-0.083,0.27952945,3.4786904,1672444800,1625011200,2467042048,2,NA,NA,30.060976
50,RTSL,1228.767,0.0,-15.831,-0.7676768,NA,0.002,1609372800,-2928267,-0.016,0.27952945,109.99999,1672444800,1625011200,44915108,4,NA,NA,NA
51,TRSI,0.353,-1.67965,-0.335,3.85,NA,-3.992,1059609600,-5127424,-16.8,0.27952945,NA,1122768000,1083283200,1077846,4,NA,NA,NA
52,ADVT,NA,0.0,NA,-0.8333333,NA,-0.003,1325289600,-294927,-0.001,0.27952945,NA,1388448000,970272000,1947927,4,NA,NA,NA
53,AQUA,3.72,0.039330002,23.039,0.65789473,0.84,4.523,1601424000,55932000,0.459,0.27952945,8.461199,1664496000,1625011200,5291259392,2,3.33,NA,45.559525
54,INCR,NA,0.15923001,NA,5.9072165,2.47,NA,1609372800,NA,NA,0.27952945,NA,1672444800,1625011200,307388576,2,NA,NA,NA
55,BLUE,12.041,0.0,-0.724,-0.6711254,-9.21,14.575,1609372800,-842129024,-12.607,0.27952945,1.2439108,1672444800,1625011200,605050432,2,0.05,NA,-1.9685124
56,CODA,3.759,0.29132998,15.464,0.5332198,0.74,3.774,1604102400,6097002,0.54,0.27952945,2.3502915,1667174400,1627689600,78661888,2,NA,NA,11.986486
57,COHR,4.416,-0.085039996,37.586,1.2323205,8.83,34.215,1601683200,-120120000,-4.944,0.27952945,7.2707877,1664755200,1625270400,6237522432,2,4.99,NA,28.173273
58,DASH,15.519,-0.13623,-152.332,0.043111205,-0.76,13.686,1609372800,-567000000,-2.754,0.27952945,14.640509,1672444800,1625011200,64588652544,2,NA,NA,-263.64474
59,LEVL,2.435,0.30527002,NA,0.8573233,2.99,26.483,1609372800,27737000,3.632,0.27952945,1.111279,1672444800,1625011200,235481008,2,NA,NA,9.84281
60,FAST,5.275,0.15237,22.788,0.13671613,1.71,5.013,1609372800,867900032,1.5,0.27952945,10.335129,1672444800,1625011200,30048131072,2,5.69,NA,30.298246
61,FICO,9.145,0.26947,27.983,-0.09111351,13.71,4.398,1601424000,365489984,12.348,0.27952945,89.972725,1664496000,1625011200,12403293184,2,2.32,NA,28.862144
62,GOVX,8.063,0.0,-1.442,0.47292423,-1.27,3.075,1609372800,-4783981,-1.176,0.27952945,1.2943414,1672444800,1625011200,6911281,4,NA,NA,-3.133937
